cod_mun,municipio,provincia,poblacion,partido_ganador,por_votos,siglas_partido,color,partido_mapa
03080,Jacarilla,Alicante,2039,PARTIDO POPULAR,52.66,PP,#009ade,PP
03081,Xaló,Alicante,2931,ACORD PER GUANYAR,55.24,ACORD PER GUANYAR,#e07c2c,Compromís
03082,Jávea/Xàbia,Alicante,28731,PARTIDO SOCIALISTA OBRERO ESPAÑOL,34.91,PSOE,#da1f35,PSOE
03083,Jijona/Xixona,Alicante,6860,PARTIDO SOCIALISTA OBRERO ESPAÑOL,41.56,PSOE,#da1f35,PSOE
03084,Lorcha/L'Orxa,Alicante,565,PARTIDO POPULAR,61.81,PP,#009ade,PP
03085,Llíber,Alicante,967,PARTIDO POPULAR,64.78,PP,#009ade,PP
03086,Millena,Alicante,243,PARTIDO SOCIALISTA OBRERO ESPAÑOL,59.87,PSOE,#da1f35,PSOE
03088,Monforte del Cid,Alicante,8619,ESQUERRA UNIDA: ADELANTE,37.81,EUPV:ADELANTE,#b865c1,Podemos
03089,Monóvar/Monòver,Alicante,12387,PARTIDO SOCIALISTA OBRERO ESPAÑOL,45.72,PSOE,#da1f35,PSOE
03090,Mutxamel,Alicante,26192,PARTIDO POPULAR,38.48,PP,#009ade,PP
03091,Murla,Alicante,540,PARTIDO POPULAR,78.44,PP,#009ade,PP
03092,Muro de Alcoy,Alicante,9303,ACORD PER GUANYAR,32.87,ACORD PER GUANYAR,#e07c2c,Compromís
03093,Novelda,Alicante,25592,PARTIDO SOCIALISTA OBRERO ESPAÑOL,57.73,PSOE,#da1f35,PSOE
03094,La Nucia,Alicante,18624,PARTIDO POPULAR,64.14,PP,#009ade,PP
03095,Ondara,Alicante,7085,PARTIDO POPULAR,38.92,PP,#009ade,PP
03096,Onil,Alicante,7580,PARTIDO POPULAR,41.85,PP,#009ade,PP
03097,Orba,Alicante,2348,ACORD PER GUANYAR,51.66,ACORD PER GUANYAR,#e07c2c,Compromís
03098,Orxeta,Alicante,812,VOX,45.62,VOX,#69a93b,Vox
03099,Orihuela,Alicante,80784,PARTIDO POPULAR,38.62,PP,#009ade,PP
03100,Parcent,Alicante,997,JUNTOS POR PRUNA,77.68,JXP,#757a88,Otros
