fecha,indicativo,fecha_maxima,temMax,nombre_clean,provincia_clean,latitud,longitud,record,nota,junio,mayo,abril,marzo,febrero,enero
2024-01-17,6000A,1996-01-01,25.6,Melilla,Melilla,35.27638889,-2.956388889,Mensual,NA,NA,NA,NA,NA,NA,26.7
2024-01-03,6058I,2012-01-06,24.4,Estepona,Málaga,36.41694444,-5.155,Mensual,NA,NA,NA,NA,NA,NA,24.5
2024-01-26,6106X,2003-01-28,23.6,Antequera,Málaga,37.02944444,-4.748333333,Mensual,NA,NA,NA,NA,NA,NA,24.4
2024-01-26,6293X,2023-01-09,20.3,Roquetas de Mar,Almería,36.68694444,-2.701666667,Mensual,NA,NA,NA,NA,NA,NA,21.3
2024-01-27,6325O,2013-01-26,24.4,Almería Aeropuerto,Almería,36.84638889,-2.356944444,Mensual,NA,NA,NA,NA,NA,NA,25.7
2024-01-26,6367B,2021-01-29,27.1,Huércal-Overa,Almería,37.39055556,-1.943611111,Mensual,NA,NA,NA,NA,NA,NA,28
2024-01-25,7119B,2021-01-29,24.3,Caravaca de la Cruz,Murcia,38.1025,-1.877222222,Mensual,NA,NA,NA,NA,NA,NA,25.2
2024-01-25,7209,2021-01-29,27.5,Lorca,Murcia,37.65472222,-1.687222222,Mensual,NA,NA,NA,NA,NA,NA,27.6
2024-01-25,7247X,2021-01-29,24.5,El Pinós/Pinoso,Alicante,38.39972222,-1.038055556,Mensual,NA,NA,NA,NA,NA,NA,26.3
2024-01-26,8096,2022-01-01,23.2,Cuenca,Cuenca,40.06722222,-2.131944444,Mensual,NA,NA,NA,NA,NA,NA,24
2024-01-25,8175,1959-01-25,21.8,Albacete Base Aérea,Albacete,38.95416667,-1.856388889,Mensual,NA,NA,NA,NA,NA,NA,22.8
2024-01-25,8178D,2003-01-27,21.6,Albacete,Albacete,39.00583333,-1.862777778,Mensual,NA,NA,NA,NA,NA,NA,22
2024-01-25,8368U,2021-01-28,21.4,Teruel,Teruel,40.35055556,-1.124166667,Mensual,NA,NA,NA,NA,NA,NA,22.9
2024-01-25,8489X,2022-01-01,22.4,Villafranca del Cid/Villafranca,Castellón,40.43333333,-0.2558333333,Mensual,NA,NA,NA,NA,NA,NA,24.3
2024-01-25,9001D,2008-01-06,18.2,Reinosa,Cantabria,42.99194444,-4.160555556,Mensual,NA,NA,NA,NA,NA,NA,18.7
2024-01-25,9019B,2016-01-24,18.8,"Valderredible, Polientes",Cantabria,42.80638889,-3.933888889,Mensual,NA,NA,NA,NA,NA,NA,19.4
2024-01-25,9051,2003-01-27,20.2,Medina de Pomar,Burgos,42.92,-3.482777778,Mensual,NA,NA,NA,NA,NA,NA,21.5
