cod_ine,cod_region_iso,nom_region_iso,indicativo,nom_mun,prov_isla,tmed,tmax,calor,anomalia_tmax,tmin,frio,anomalia_tmin,fecha,hora,nombre_clean
37045,673702,Sistema Central de Salamanca,2491C,"Bastida, La",Salamanca,-1.7,1.1,no hace calor,"-2,7",-4.5,hace frío,"-1,8",2024-03-05,20:30:00,"La Covatilla, Estación de Esquí"
37046,673702,Sistema Central de Salamanca,2491C,Béjar,Salamanca,-1.7,1.1,no hace calor,"-2,7",-4.5,hace frío,"-1,8",2024-03-05,20:30:00,"La Covatilla, Estación de Esquí"
37047,673701,Meseta de Salamanca,2870,Beleña,Salamanca,8,12.2,no hace calor,"-0,7",3.8,más cálida de lo normal,"+0,4",2024-03-05,20:30:00,Salamanca
37049,673701,Meseta de Salamanca,2916A,Bermellar,Salamanca,7.85,12.7,hace calor,"+0,7",3,el frío es normal,"+0,3",2024-03-05,20:30:00,Vitigudino
37050,673701,Meseta de Salamanca,2870,Berrocal de Huebra,Salamanca,8,12.2,no hace calor,"-0,7",3.8,más cálida de lo normal,"+0,4",2024-03-05,20:30:00,Salamanca
37051,673701,Meseta de Salamanca,2870,Berrocal de Salvatierra,Salamanca,8,12.2,no hace calor,"-0,7",3.8,más cálida de lo normal,"+0,4",2024-03-05,20:30:00,Salamanca
37052,673701,Meseta de Salamanca,2916A,Boada,Salamanca,7.85,12.7,hace calor,"+0,7",3,el frío es normal,"+0,3",2024-03-05,20:30:00,Vitigudino
37054,673701,Meseta de Salamanca,2946X,"Bodón, El",Salamanca,7.8,13,hace calor,"+1,1",2.6,el frío es normal,"+0,2",2024-03-05,20:30:00,Saelices El Chico
37055,673701,Meseta de Salamanca,2916A,Bogajo,Salamanca,7.85,12.7,hace calor,"+0,7",3,el frío es normal,"+0,3",2024-03-05,20:30:00,Vitigudino
37056,673701,Meseta de Salamanca,2946X,"Bouza, La",Salamanca,7.8,13,hace calor,"+1,1",2.6,el frío es normal,"+0,2",2024-03-05,20:30:00,Saelices El Chico
37057,673701,Meseta de Salamanca,2867,Bóveda del Río Almar,Salamanca,5.85,11.1,no hace calor,"-1,4",0.6,hace frío,"-1,6",2024-03-05,20:30:00,Salamanca Aeropuerto
37058,673701,Meseta de Salamanca,2916A,Brincones,Salamanca,7.85,12.7,hace calor,"+0,7",3,el frío es normal,"+0,3",2024-03-05,20:30:00,Vitigudino
37059,673701,Meseta de Salamanca,2916A,Buenamadre,Salamanca,7.85,12.7,hace calor,"+0,7",3,el frío es normal,"+0,3",2024-03-05,20:30:00,Vitigudino
37060,673701,Meseta de Salamanca,2870,Buenavista,Salamanca,8,12.2,no hace calor,"-0,7",3.8,más cálida de lo normal,"+0,4",2024-03-05,20:30:00,Salamanca
37061,673702,Sistema Central de Salamanca,2491C,"Cabaco, El",Salamanca,-1.7,1.1,no hace calor,"-2,7",-4.5,hace frío,"-1,8",2024-03-05,20:30:00,"La Covatilla, Estación de Esquí"
37062,673701,Meseta de Salamanca,2867,Cabezabellosa de la Calzada,Salamanca,5.85,11.1,no hace calor,"-1,4",0.6,hace frío,"-1,6",2024-03-05,20:30:00,Salamanca Aeropuerto
37063,673702,Sistema Central de Salamanca,2491C,"Cabeza de Béjar, La",Salamanca,-1.7,1.1,no hace calor,"-2,7",-4.5,hace frío,"-1,8",2024-03-05,20:30:00,"La Covatilla, Estación de Esquí"
37065,673701,Meseta de Salamanca,2916A,Cabeza del Caballo,Salamanca,7.85,12.7,hace calor,"+0,7",3,el frío es normal,"+0,3",2024-03-05,20:30:00,Vitigudino
37067,673701,Meseta de Salamanca,2870,Cabrerizos,Salamanca,8,12.2,no hace calor,"-0,7",3.8,más cálida de lo normal,"+0,4",2024-03-05,20:30:00,Salamanca
37068,673701,Meseta de Salamanca,2916A,Cabrillas,Salamanca,7.85,12.7,hace calor,"+0,7",3,el frío es normal,"+0,3",2024-03-05,20:30:00,Vitigudino
37069,673701,Meseta de Salamanca,2867,Calvarrasa de Abajo,Salamanca,5.85,11.1,no hace calor,"-1,4",0.6,hace frío,"-1,6",2024-03-05,20:30:00,Salamanca Aeropuerto
37070,673701,Meseta de Salamanca,2867,Calvarrasa de Arriba,Salamanca,5.85,11.1,no hace calor,"-1,4",0.6,hace frío,"-1,6",2024-03-05,20:30:00,Salamanca Aeropuerto
37071,673703,Sur de Salamanca,2491C,"Calzada de Béjar, La",Salamanca,-1.7,1.1,no hace calor,"-2,7",-4.5,hace frío,"-1,8",2024-03-05,20:30:00,"La Covatilla, Estación de Esquí"
37072,673701,Meseta de Salamanca,2870,Calzada de Don Diego,Salamanca,8,12.2,no hace calor,"-0,7",3.8,más cálida de lo normal,"+0,4",2024-03-05,20:30:00,Salamanca
37073,673701,Meseta de Salamanca,2870,Calzada de Valdunciel,Salamanca,8,12.2,no hace calor,"-0,7",3.8,más cálida de lo normal,"+0,4",2024-03-05,20:30:00,Salamanca
37074,673701,Meseta de Salamanca,2946X,Campillo de Azaba,Salamanca,7.8,13,hace calor,"+1,1",2.6,el frío es normal,"+0,2",2024-03-05,20:30:00,Saelices El Chico
