fecha,indicativo,nombre_completo,provincia_clean,tmin,tmin_median,anomalia,anomalia_positiva,anomalia_negativa,texto_anomalia,texto_fecha,tipo_anomalia,color_anomalia
2024-03-13,3129,Madrid Aeropuerto (Madrid),Madrid,2.6,4.2,-1.6,4.2,2.6,"-1,6",13 mar.,▼,#2171b5
2024-03-14,3111D,Somosierra (Madrid),Madrid,3.8,2.4,1.4,3.8,2.4,"+1,4",14 mar.,▲,#cb181d
2024-03-14,3195,"Madrid, Retiro (Madrid)",Madrid,6.9,6.8,0.1,6.9,6.8,"+0,1",14 mar.,▲,#cb181d
2024-03-14,3191E,Colmenar Viejo (Madrid),Madrid,7.5,4.9,2.6,7.5,4.9,"+2,6",14 mar.,▲,#cb181d
2024-03-14,3100B,Aranjuez (Madrid),Madrid,4.3,1.9,2.4,4.3,1.9,"+2,4",14 mar.,▲,#cb181d
2024-03-14,3266A,Puerto Alto del León (Madrid),Madrid,2.7,1.2,1.5,2.7,1.2,"+1,5",14 mar.,▲,#cb181d
2024-03-14,3110C,Buitrago del Lozoya (Madrid),Madrid,1.1,-0.2,1.3,1.1,-0.2,"+1,3",14 mar.,▲,#cb181d
2024-03-14,3194U,"Madrid, Ciudad Universitaria (Madrid)",Madrid,NA,4.5,NA,NA,NA,NA,14 mar.,NA,NA
2024-03-14,3129,Madrid Aeropuerto (Madrid),Madrid,3.4,3,0.4,3.4,3,"+0,4",14 mar.,▲,#cb181d
2024-03-14,2462,Puerto de Navacerrada (Madrid),Madrid,1.9,-0.8,2.7,1.9,-0.8,"+2,7",14 mar.,▲,#cb181d
2024-03-15,2462,Puerto de Navacerrada (Madrid),Madrid,1.9,0.6,1.3,1.9,0.6,"+1,3",15 mar.,▲,#cb181d
2024-03-15,3111D,Somosierra (Madrid),Madrid,3.1,2.1,1,3.1,2.1,+1,15 mar.,▲,#cb181d
2024-03-15,3195,"Madrid, Retiro (Madrid)",Madrid,6.3,7.1,-0.8,7.1,6.3,"-0,8",15 mar.,▼,#2171b5
2024-03-15,3191E,Colmenar Viejo (Madrid),Madrid,7,6.5,0.5,7,6.5,"+0,5",15 mar.,▲,#cb181d
2024-03-15,3100B,Aranjuez (Madrid),Madrid,3.3,2.8,0.5,3.3,2.8,"+0,5",15 mar.,▲,#cb181d
2024-03-15,3266A,Puerto Alto del León (Madrid),Madrid,2.9,1.6,1.3,2.9,1.6,"+1,3",15 mar.,▲,#cb181d
2024-03-15,3110C,Buitrago del Lozoya (Madrid),Madrid,3.1,0.2,2.9,3.1,0.2,"+2,9",15 mar.,▲,#cb181d
2024-03-15,3194U,"Madrid, Ciudad Universitaria (Madrid)",Madrid,NA,4.7,NA,NA,NA,NA,15 mar.,NA,NA
2024-03-15,3129,Madrid Aeropuerto (Madrid),Madrid,3.7,4,-0.3,4,3.7,"-0,3",15 mar.,▼,#2171b5
2024-03-16,2462,Puerto de Navacerrada (Madrid),Madrid,2.7,-0.3,3,2.7,-0.3,+3,16 mar.,▲,#cb181d
2024-03-16,3100B,Aranjuez (Madrid),Madrid,5.1,3.1,2,5.1,3.1,+2,16 mar.,▲,#cb181d
2024-03-16,3110C,Buitrago del Lozoya (Madrid),Madrid,2.2,1.4,0.8,2.2,1.4,"+0,8",16 mar.,▲,#cb181d
2024-03-16,3111D,Somosierra (Madrid),Madrid,2.8,1.5,1.3,2.8,1.5,"+1,3",16 mar.,▲,#cb181d
2024-03-16,3129,Madrid Aeropuerto (Madrid),Madrid,6.5,3.7,2.8,6.5,3.7,"+2,8",16 mar.,▲,#cb181d
2024-03-16,3191E,Colmenar Viejo (Madrid),Madrid,6.5,6,0.5,6.5,6,"+0,5",16 mar.,▲,#cb181d
2024-03-16,3194U,"Madrid, Ciudad Universitaria (Madrid)",Madrid,NA,3.7,NA,NA,NA,NA,16 mar.,NA,NA
2024-03-16,3195,"Madrid, Retiro (Madrid)",Madrid,8.9,7,1.9,8.9,7,"+1,9",16 mar.,▲,#cb181d
2024-03-16,3266A,Puerto Alto del León (Madrid),Madrid,4.2,0.6,3.6,4.2,0.6,"+3,6",16 mar.,▲,#cb181d
2024-03-17,2462,Puerto de Navacerrada (Madrid),Madrid,5.6,0,5.6,5.6,0,"+5,6",17 mar.,▲,#cb181d
2024-03-17,3100B,Aranjuez (Madrid),Madrid,7,3,4,7,3,+4,17 mar.,▲,#cb181d
2024-03-17,3110C,Buitrago del Lozoya (Madrid),Madrid,4.5,0.6,3.9,4.5,0.6,"+3,9",17 mar.,▲,#cb181d
2024-03-17,3111D,Somosierra (Madrid),Madrid,4.5,0.2,4.3,4.5,0.2,"+4,3",17 mar.,▲,#cb181d
2024-03-17,3129,Madrid Aeropuerto (Madrid),Madrid,6.9,3.6,3.3,6.9,3.6,"+3,3",17 mar.,▲,#cb181d
2024-03-17,3191E,Colmenar Viejo (Madrid),Madrid,9,5.1,3.9,9,5.1,"+3,9",17 mar.,▲,#cb181d
2024-03-17,3194U,"Madrid, Ciudad Universitaria (Madrid)",Madrid,NA,4.1,NA,NA,NA,NA,17 mar.,NA,NA
